22m	20	null	nolesvotes	469	null	8
acampadabcn	31	null	spanishrevolution	587	null	13
15mai	57	null	democraciarealya	328	null	11
15mai	57	null	acampadamalaga	75	null	11
15mai	57	null	acampadasol	664	null	11
15mai	57	null	indignaos	98	null	11
democraciarealya	328	null	15mani	380	null	7
democraciarealya	328	null	spanishrevolution	587	null	35
democraciarealya	328	null	nolesvotes	469	null	15
democraciarealya	328	null	barcelona	10	null	8
democraciarealya	328	null	acampadasol	664	null	52
democraciarealya	328	null	15m	243	null	14
democraciarealya	328	null	acampadamalaga	75	null	14
zp	32	null	15mani	380	null	16
zp	32	null	buspsoe	32	null	16
acampadamalaga	75	null	acampadasol	664	null	14
acampadasol	664	null	15mani	380	null	84
acampadasol	664	null	spanishrevolution	587	null	141
acampadasol	664	null	nolesvotes	469	null	130
acampadasol	664	null	democraciarealya	328	null	37
acampadasol	664	null	15m	243	null	10
leonesp	23	null	15mani	380	null	7
leonesp	23	null	nolesvotes	469	null	8
leonesp	23	null	acampadasol	664	null	8
libia	18	null	acampadasol	664	null	9
misrata	18	null	libia	18	null	9
misrata	18	null	acampadasol	664	null	9
spanishrevolution	587	null	15mani	380	null	78
spanishrevolution	587	null	nolesvotes	469	null	105
spanishrevolution	587	null	acampadasol	664	null	48
spanishrevolution	587	null	democraciarealya	328	null	14
spanishrevolution	587	null	15m	243	null	21
15m	243	null	15mani	380	null	12
15m	243	null	spanishrevolution	587	null	14
15m	243	null	acampadasol	664	null	26
15m	243	null	15mai	57	null	11
15m	243	null	democraciarealya	328	null	55
15m	243	null	acampadamalaga	75	null	14
15m	243	null	indignaos	98	null	15
15mani	380	null	spanishrevolution	587	null	25
15mani	380	null	nolesvotes	469	null	66
15mani	380	null	buspsoe	32	null	16
15mani	380	null	democraciarealya	328	null	8
15mani	380	null	15m	243	null	13
nolesvotes	469	null	15mani	380	null	16
nolesvotes	469	null	spanishrevolution	587	null	28
nolesvotes	469	null	acampadasol	664	null	18
nolesvotes	469	null	democraciarealya	328	null	8
nolesvotes	469	null	indignaos	98	null	6
nolesvotes	469	null	15m	243	null	6
nolesvotes	469	null	15man	6	null	6
indignaos	98	null	acampadasol	664	null	17
indignaos	98	null	democraciarealya	328	null	20
indignaos	98	null	acampadamalaga	75	null	14
